priority_tier,state,station_call_sign,station_name,school,city,frequency_or_stream,format_focus,music_director_name,music_director_email,general_email,submission_url,contact_url,best_contact_method,first_outreach_date,first_outreach_status,follow_up_1_date,follow_up_1_status,follow_up_2_date,follow_up_2_status,premiere_invite_sent,song_link_sent,viz_preview_link_sent,notes
A,CA,KALX,KALX 90.7,University of California Berkeley,Berkeley,90.7 FM,indie/alt,,,,,,,not_started,,,,,,no,no,no,
A,CA,KXLU,KXLU 88.9,Loyola Marymount University,Los Angeles,88.9 FM,indie/alt,,,,,,,not_started,,,,,,no,no,no,
A,NC,WXYC,WXYC 89.3,University of North Carolina at Chapel Hill,Chapel Hill,89.3 FM,college/indie,,,,,,,not_started,,,,,,no,no,no,
A,NY,WNYU,WNYU 89.1,New York University,New York,89.1 FM,eclectic/indie,,,,,,,not_started,,,,,,no,no,no,
A,TX,KVRX,KVRX 91.7,University of Texas at Austin,Austin,91.7 FM,indie/college,,,,,,,not_started,,,,,,no,no,no,
B,CT,WHUS,WHUS 91.7,University of Connecticut,Storrs,91.7 FM,college/community,,,,,,,not_started,,,,,,no,no,no,
B,FL,WPRK,WPRK 91.5,Rollins College,Winter Park,91.5 FM,indie/alternative,,,,,,,not_started,,,,,,no,no,no,
B,GA,WUOG,WUOG 90.5,University of Georgia,Athens,90.5 FM,college/indie,,,,,,,not_started,,,,,,no,no,no,
B,PA,WKDU,WKDU 91.7,Drexel University,Philadelphia,91.7 FM,indie/college,,,,,,,not_started,,,,,,no,no,no,
B,WI,WSUM,WSUM 91.7,University of Wisconsin Madison,Madison,91.7 FM,college/alternative,,,,,,,not_started,,,,,,no,no,no,
B,OH,WOUB-FM,WOUB 91.3,Ohio University,Athens,91.3 FM,college/community,,,,,,,not_started,,,,,,no,no,no,
C,AL,WVUA,WVUA-FM,University of Alabama,Tuscaloosa,90.7 FM,college/community,,,,,,,not_started,,,,,,no,no,no,
C,AR,KXUA,KXUA 88.3,University of Arkansas,Fayetteville,88.3 FM,college/alternative,,,,,,,not_started,,,,,,no,no,no,
C,IA,KURE,KURE 88.5,Iowa State University,Ames,88.5 FM,college/indie,,,,,,,not_started,,,,,,no,no,no,
C,LA,WTUL,WTUL 91.5,Tulane University,New Orleans,91.5 FM,eclectic/indie,,,,,,,not_started,,,,,,no,no,no,
C,NJ,WTSR,WTSR 91.3,The College of New Jersey,Trenton,91.3 FM,college/alternative,,,,,,,not_started,,,,,,no,no,no,
C,TN,WUTK,WUTK 90.3,University of Tennessee,Knoxville,90.3 FM,college/rock,,,,,,,not_started,,,,,,no,no,no,
C,VT,WRUV,WRUV 90.1,University of Vermont,Burlington,90.1 FM,college/indie,,,,,,,not_started,,,,,,no,no,no,
C,MA,WERS,WERS 88.9,Emerson College,Boston,88.9 FM,college/media,,,,,,,not_started,,,,,,no,no,no,
C,MI,WCBN,WCBN 88.3,University of Michigan,Ann Arbor,88.3 FM,college/freeform,,,,,,,not_started,,,,,,no,no,no,
