name,ref,rung,bt_acc1,bt_acc2,v3s1_acc1,v3s1_acc2,v2_acc1,v2_acc2,lane_hops,flips_smoothed
Andrew Mcfarlane - Morning Air (Original Mix).mp3,120.0,tag,True,True,True,True,,,0.0,1.6
Delgoni - Ethereal (Original Mix).mp3,120.0,tag,True,True,False,False,,,0.4,15.2
Della Chase - The Morning Sun (Original Mix).mp3,80.0,tag,False,False,False,False,,,2.88,16.44
Ficmaro - Dreamscape (Original Mix).mp3,110.0,tag,True,True,False,True,,,0.0,4.0
Kingstonray - Ghetto Cry (Original Mix).mp3,100.0,tag,True,True,False,True,,,0.0,2.4
Kitlynn Asmodayus - Hollow (Remix).mp3,120.0,tag,True,True,True,True,,,0.0,0.0
Legends Of The Seven Golden Vampires - To Think To Heal (Dirty).mp3,160.0,tag,False,True,True,True,,,3.2,4.8
Nadiel & Cintronick - 1 Astral (Original Mix).mp3,140.0,tag,True,True,True,True,,,0.0,2.8
Psychic Sound Machine - Somnolence (Original Mix).mp3,112.0,tag,False,False,False,False,,,0.4,14.8
Samuel K Golden - Countdown To Our Time (Original Mix).mp3,75.0,tag,False,True,False,True,,,0.0,1.6
Stefanosis - Green Mile (Original Mix).mp3,80.0,tag,True,True,False,True,,,0.8,3.2
Tamari Aübry - Gorgeous Paradox Ocean Waves (Original Mix).mp3,121.0,tag,True,True,False,False,,,0.0,7.6
Templefynest - My Beautiful Date For Prom (Original Mix).mp3,85.0,tag,True,True,False,False,,,0.0,4.8
Zarko - Vilino Vrelo (Original Mix).mp3,131.0,tag,False,False,False,False,,,0.0,1.61
Black Majestic - Warcry (Original Mix).mp3,121.0,tag,True,True,True,True,,,0.0,0.0
Blastersboyz - Skyrocketing (Original Mix).mp3,132.0,tag,True,True,True,True,,,0.0,0.8
DJ Landan Time - So Close (Extended Mix).mp3,126.0,tag,True,True,True,True,,,0.0,0.0
Djschluetex - I See (Original Mix).mp3,72.0,tag,False,True,False,True,,,0.4,1.6
"Emilia, Tini, Nicki Nicole - Blackout (Dario Xavier Club Remix).mp3",128.0,tag,True,True,True,True,,,0.0,0.0
"Jerzy Bulx, Cabanella - Its Alright (Original Mix).mp3",150.0,tag,True,True,False,False,,,0.47,1.88
Refine - Share Your Love (Original Mix).mp3,125.0,tag,True,True,True,True,,,0.0,3.2
Soulflvr - Do You Love Me (Original Mix).mp3,70.0,tag,False,True,False,True,,,0.0,0.0
Spadeuk - Birds Eye View Brazil (Original Mix).mp3,100.0,tag,False,True,False,True,,,4.4,11.2
The Uncle Earl & Jack Angel - I Cant Take No More (Original Mix).mp3,129.0,tag,True,True,True,True,,,2.0,5.6
Trii - Roll Tha Dice (Original Mix).mp3,194.0,tag,False,True,False,False,,,0.0,0.8
George Michael - Careless Whisper (Nylze Remix).mp3,81.0,tag,False,True,False,True,,,0.0,0.8
Marvin Shadex - Never Knew Love Like This Before (Original Mix).mp3,120.0,tag,True,True,True,True,,,0.0,1.6
"Moo & Jo, Demaya ft Arkadyan & Eribertho Cruzado - Desperado (Amnesia Jones Remix).mp3",125.0,tag,True,True,True,True,,,0.0,1.6
Coolio X Disco Pirates - Gangstas Paradise (Nyc House Remix).mp3,116.0,tag,True,True,True,True,,,0.0,0.4
Destinys Child vs Robert Miles - Say My Name (DJ Roller Children Edit).mp3,128.0,tag,True,True,True,True,,,0.0,1.6
Punkflwr ft The Rockers - Love Spirit (Extended).mp3,120.0,tag,True,True,True,True,,,0.0,0.0
Takis - Lost (Extended Mix).mp3,125.0,tag,True,True,True,True,,,0.4,1.6
Anita Cole - Feel The Light (Original Mix).mp3,124.0,tag,True,True,True,True,,,0.0,0.0
Scenpha - Tribal Essence (Released).mp3,125.0,tag,True,True,True,True,,,0.4,1.6
Dash Hype - Just Rave (Original Mix).mp3,129.0,tag,True,True,True,True,,,0.0,0.0
Kaboom Las Vegas - Blackout Riddim (Clean).mp3,192.0,tag,False,True,False,True,,,0.0,0.8
Moli Almeria - Push That Pedal (Extended Mix).mp3,128.0,tag,True,True,True,True,,,0.0,0.0
Zaknex - Girlz Girlz Girlz (Original Mix).mp3,126.0,tag,True,True,True,True,,,0.0,0.0
C0UNTLE$$ - Commercial (Original Mix).mp3,100.0,tag,True,True,False,True,,,0.89,4.46
Cov Me - Ma Cherie (Lyfoos Remix Cover).mp3,130.0,tag,True,True,True,True,,,0.0,1.6
Fadi Awad ft Anny - Shining (Original Mix).mp3,128.0,tag,True,True,True,True,,,0.0,0.0
Frank Abraham - I Need A Miracle (Original Mix).mp3,125.0,tag,True,True,True,True,,,0.0,0.0
Hatchfield - What Can I Do (Original Mix).mp3,78.0,tag,False,True,False,True,,,0.0,1.69
Iknition - Tell Me (Original Mix).mp3,126.0,tag,True,True,True,True,,,0.0,0.0
J P Boyle - System (Original Mix).mp3,130.0,tag,True,True,True,True,,,0.0,0.0
J Universe - Misunderstood Ego (Original Mix).mp3,121.0,tag,True,True,True,True,,,0.0,4.8
Mark Winter - Cruising On A Party Boat (Original Mix).mp3,128.0,tag,True,True,True,True,,,0.0,0.0
Mr Eyeopener ft Dale Tasker - Blossoms Revenge (Original Mix).mp3,90.0,tag,True,True,False,True,,,0.0,2.4
Neonpaintbruzh - If I Needed You (Original Mix).mp3,120.0,tag,True,True,True,True,,,0.8,4.0
Papa Genius - Iron Man (Original Mix).mp3,117.0,tag,True,True,False,True,,,0.0,1.6
Russell R Charles - Making Love With Be Yon Ce (Original Mix).mp3,128.0,tag,True,True,True,True,,,0.0,1.6
Shyra - Fire (Mr Anderson Can You Feel It Main Mix).mp3,122.0,tag,True,True,True,True,,,0.0,1.6
Syntrix - To Be With You (Original Mix).mp3,126.0,tag,True,True,True,True,,,0.0,1.6
Tulimeri - Sunset Kisses (Original Mix).mp3,140.0,tag,True,True,True,True,,,0.0,0.8
Ali Saber - Ali Saber Dawaat Ommi Deep House Remix 122 Bpm Gm (Deep House Remix).mp3,122.0,tag,True,True,True,True,,,0.4,6.4
Booker Forte ft Angelique - Hip Hop Wsda (Soho Hot Music Street Dance Remix).mp3,115.0,tag,True,True,False,True,,,0.0,0.0
Clameur - Comme Les Fous (Original Mix).mp3,124.0,tag,True,True,True,True,,,0.4,2.4
DJ R Kay - No Other Name (Original Mix).mp3,113.0,tag,True,True,True,True,,,0.0,0.8
