name,ref,rung,md_acc1,md_acc2,v3s1_acc1,v3s1_acc2,v2_acc1,v2_acc2,lane_hops,flips_smoothed,first_lock_s
Andrew Mcfarlane - Morning Air (Original Mix).mp3,120.0,tag,True,True,True,True,,,0.8,1.6,0.3
Delgoni - Ethereal (Original Mix).mp3,120.0,tag,False,False,False,False,,,17.6,43.2,0.82
Della Chase - The Morning Sun (Original Mix).mp3,80.0,tag,False,False,False,False,,,15.62,25.89,0.68
Ficmaro - Dreamscape (Original Mix).mp3,110.0,tag,True,True,False,True,,,5.6,15.2,0.45
Kingstonray - Ghetto Cry (Original Mix).mp3,100.0,tag,False,False,False,True,,,5.2,10.4,0.45
Kitlynn Asmodayus - Hollow (Remix).mp3,120.0,tag,True,True,True,True,,,0.8,0.8,1.02
Legends Of The Seven Golden Vampires - To Think To Heal (Dirty).mp3,160.0,tag,True,True,True,True,,,1.2,3.2,0.35
Nadiel & Cintronick - 1 Astral (Original Mix).mp3,140.0,tag,False,True,True,True,,,15.39,30.79,0.67
Psychic Sound Machine - Somnolence (Original Mix).mp3,112.0,tag,False,True,False,False,,,25.6,38.0,0.68
Samuel K Golden - Countdown To Our Time (Original Mix).mp3,75.0,tag,False,True,False,True,,,0.4,4.0,0.57
Stefanosis - Green Mile (Original Mix).mp3,80.0,tag,False,True,False,True,,,3.6,6.4,0.42
Tamari Aübry - Gorgeous Paradox Ocean Waves (Original Mix).mp3,121.0,tag,True,True,False,False,,,10.4,24.0,0.83
Templefynest - My Beautiful Date For Prom (Original Mix).mp3,85.0,tag,True,True,False,False,,,1.6,2.4,0.65
Zarko - Vilino Vrelo (Original Mix).mp3,131.0,tag,False,False,False,False,,,2.41,4.42,0.28
Black Majestic - Warcry (Original Mix).mp3,121.0,tag,True,True,True,True,,,0.0,0.0,0.5
Blastersboyz - Skyrocketing (Original Mix).mp3,132.0,tag,True,True,True,True,,,1.6,5.6,1.02
DJ Landan Time - So Close (Extended Mix).mp3,126.0,tag,True,True,True,True,,,0.8,2.4,1.02
Djschluetex - I See (Original Mix).mp3,72.0,tag,False,True,False,True,,,1.2,1.6,1.02
"Emilia, Tini, Nicki Nicole - Blackout (Dario Xavier Club Remix).mp3",128.0,tag,True,True,True,True,,,0.0,0.8,0.35
"Jerzy Bulx, Cabanella - Its Alright (Original Mix).mp3",150.0,tag,True,True,False,False,,,1.88,1.88,1.02
Refine - Share Your Love (Original Mix).mp3,125.0,tag,True,True,True,True,,,1.6,1.6,0.37
Soulflvr - Do You Love Me (Original Mix).mp3,70.0,tag,False,True,False,True,,,1.6,9.6,0.45
Spadeuk - Birds Eye View Brazil (Original Mix).mp3,100.0,tag,False,True,False,True,,,1.6,5.6,0.6
The Uncle Earl & Jack Angel - I Cant Take No More (Original Mix).mp3,129.0,tag,True,True,True,True,,,1.2,6.0,0.48
Trii - Roll Tha Dice (Original Mix).mp3,194.0,tag,False,True,False,False,,,3.2,4.0,0.33
George Michael - Careless Whisper (Nylze Remix).mp3,81.0,tag,False,True,False,True,,,0.4,1.6,0.5
Marvin Shadex - Never Knew Love Like This Before (Original Mix).mp3,120.0,tag,True,True,True,True,,,1.2,6.4,0.4
"Moo & Jo, Demaya ft Arkadyan & Eribertho Cruzado - Desperado (Amnesia Jones Remix).mp3",125.0,tag,True,True,True,True,,,2.0,4.0,0.5
Coolio X Disco Pirates - Gangstas Paradise (Nyc House Remix).mp3,116.0,tag,True,True,True,True,,,3.2,4.8,0.33
Destinys Child vs Robert Miles - Say My Name (DJ Roller Children Edit).mp3,128.0,tag,True,True,True,True,,,0.0,0.0,0.45
Punkflwr ft The Rockers - Love Spirit (Extended).mp3,120.0,tag,True,True,True,True,,,0.0,0.0,0.5
Takis - Lost (Extended Mix).mp3,125.0,tag,True,True,True,True,,,0.4,3.2,0.3
Anita Cole - Feel The Light (Original Mix).mp3,124.0,tag,True,True,True,True,,,0.0,0.0,0.5
Scenpha - Tribal Essence (Released).mp3,125.0,tag,True,True,True,True,,,0.0,0.8,0.37
Dash Hype - Just Rave (Original Mix).mp3,129.0,tag,True,True,True,True,,,0.0,0.0,0.48
Kaboom Las Vegas - Blackout Riddim (Clean).mp3,192.0,tag,False,True,False,True,,,0.8,2.4,0.33
Moli Almeria - Push That Pedal (Extended Mix).mp3,128.0,tag,True,True,True,True,,,0.0,0.8,0.4
Zaknex - Girlz Girlz Girlz (Original Mix).mp3,126.0,tag,True,True,True,True,,,0.8,1.6,0.48
C0UNTLE$$ - Commercial (Original Mix).mp3,100.0,tag,True,True,False,True,,,6.69,10.71,0.33
Cov Me - Ma Cherie (Lyfoos Remix Cover).mp3,130.0,tag,True,True,True,True,,,0.8,1.6,0.78
Fadi Awad ft Anny - Shining (Original Mix).mp3,128.0,tag,True,True,True,True,,,0.8,2.4,0.93
Frank Abraham - I Need A Miracle (Original Mix).mp3,125.0,tag,True,True,True,True,,,0.0,1.6,0.48
Hatchfield - What Can I Do (Original Mix).mp3,78.0,tag,False,True,False,True,,,0.0,1.69,0.52
Iknition - Tell Me (Original Mix).mp3,126.0,tag,True,True,True,True,,,0.4,0.8,0.72
J P Boyle - System (Original Mix).mp3,130.0,tag,True,True,True,True,,,0.4,0.8,0.3
J Universe - Misunderstood Ego (Original Mix).mp3,121.0,tag,True,True,True,True,,,4.8,8.0,0.33
Mark Winter - Cruising On A Party Boat (Original Mix).mp3,128.0,tag,True,True,True,True,,,0.0,0.0,0.5
Mr Eyeopener ft Dale Tasker - Blossoms Revenge (Original Mix).mp3,90.0,tag,False,True,False,True,,,2.4,2.4,0.73
Neonpaintbruzh - If I Needed You (Original Mix).mp3,120.0,tag,True,True,True,True,,,4.8,5.6,1.02
Papa Genius - Iron Man (Original Mix).mp3,117.0,tag,True,True,False,True,,,4.0,7.2,0.55
Russell R Charles - Making Love With Be Yon Ce (Original Mix).mp3,128.0,tag,True,True,True,True,,,2.0,2.4,1.58
Shyra - Fire (Mr Anderson Can You Feel It Main Mix).mp3,122.0,tag,True,True,True,True,,,3.6,5.6,0.78
Syntrix - To Be With You (Original Mix).mp3,126.0,tag,True,True,True,True,,,0.0,0.8,0.57
Tulimeri - Sunset Kisses (Original Mix).mp3,140.0,tag,True,True,True,True,,,0.0,1.6,0.48
Ali Saber - Ali Saber Dawaat Ommi Deep House Remix 122 Bpm Gm (Deep House Remix).mp3,122.0,tag,True,True,True,True,,,6.8,18.4,1.02
Booker Forte ft Angelique - Hip Hop Wsda (Soho Hot Music Street Dance Remix).mp3,115.0,tag,True,True,False,True,,,3.2,4.0,0.52
Clameur - Comme Les Fous (Original Mix).mp3,124.0,tag,True,True,True,True,,,0.0,2.8,0.58
