name,ref,es_acc1,es_acc2,v2_acc1,v3_acc1,v2_acc2,v3_acc2,first_lock_s,lane_hops,flips_smoothed
Blksmri - Harmonic Dust (Instrumental).mp3,82.0,True,True,True,False,True,True,2.0,1.0,1.0
Brendan Adair - Swan Dive (Original Mix).mp3,100.0,True,True,True,True,True,True,2.0,0.0,2.0
Kream - Cribs & Cars Intro (Original Clean).mp3,74.0,False,True,True,False,True,True,2.0,5.72,5.72
Tarvona - A Love Without Clockwork (Original Mix).mp3,90.0,True,True,True,False,True,True,2.0,1.0,4.5
Twaang - Dies Lrae (Original Mix).mp3,80.0,False,True,False,False,False,False,2.0,0.0,5.5
2Green - 8 Days Of Christmas (Original Mix).mp3,120.0,True,True,True,True,True,True,2.0,0.0,0.0
"Calvin Harris, Clementine Douglas - Blessings Daniel Seacroft Extended Remix (Extended).mp3",70.0,False,True,False,False,True,True,2.0,2.5,5.0
Ashanti - Rock Wit U (Nylze Edit).mp3,114.0,True,True,True,True,True,True,2.0,0.0,0.0
Chris Brown - Yo Excuse Me Miss (Nylze Edit).mp3,104.0,True,True,True,False,True,True,2.0,0.0,0.0
Missy Elliott - Im Really Hot (Frisk & Vix Private Edit).mp3,128.0,True,True,True,True,True,True,2.0,0.0,0.0
Tove Lo - Habits Stay High (Gabriel Velazquez Remix).mp3,125.0,True,True,False,True,True,True,2.0,0.0,1.0
Bon Jovi - Livin On A Prayer (Ozan Dede Edit).mp3,125.0,True,True,True,True,True,True,2.0,0.0,0.0
Tim Cosmos - Freek You (Original Mix).mp3,125.0,True,True,True,True,True,True,2.0,0.0,0.0
David Guetta - Memories (Alex Armani Edit).mp3,132.0,True,True,True,True,True,True,2.0,0.0,1.0
30Hz - Eyes Wide Shut (Original Mix).mp3,87.0,True,True,False,False,True,True,2.0,2.5,4.0
Anthony David X DJ Queen Bee - For The Longest Time (Original Mix).mp3,108.0,False,False,False,False,False,True,2.0,4.5,13.0
Circuit Haze - William Byron (Original Mix).mp3,86.0,False,True,False,False,True,False,2.0,2.0,12.5
H2so4 ft Mavis - Frequency (Original Mix).mp3,86.0,False,True,False,False,True,True,2.0,19.0,21.0
Hplus - Me Feel (Original Mix).mp3,164.0,False,True,False,True,True,True,2.0,2.5,4.0
Hplus - What If (Original Mix).mp3,169.0,False,True,False,False,True,False,2.0,3.5,8.5
Jordanlivingood - All The Time (Original Mix).mp3,87.0,False,True,False,False,True,True,2.0,2.0,2.0
Juvenile - Lalalalala (Remix).mp3,84.0,False,True,False,False,True,False,2.0,4.0,4.0
