name,ref,rung,md_p50,md_tail,md_acc1,md_acc2,md_acc1_tail,md_acc2_tail,v2,v2_acc1,v2_acc2,v3,v3_acc1,v3_acc2,first_lock_s,first_lock_bpm,flips_raw,flips_smoothed,lane_hops
Blksmri - Harmonic Dust (Instrumental).mp3,82.0,tag,84.51,83.33,True,True,True,True,84.5,True,True,164.4,False,True,0.37,157.89,56.5,27.0,17.5
Brendan Adair - Swan Dive (Original Mix).mp3,100.0,tag,200.0,100.0,False,True,True,True,100.9,True,True,103.3,True,True,0.45,130.43,10.0,7.0,2.5
Kream - Cribs & Cars Intro (Original Clean).mp3,74.0,tag,75.0,85.71,True,True,False,False,75.2,True,True,150.3,False,True,0.67,88.24,32.62,5.72,1.14
Tarvona - A Love Without Clockwork (Original Mix).mp3,90.0,tag,89.55,89.55,True,True,True,True,91.0,True,True,122.9,False,True,0.28,214.29,10.5,10.0,7.0
Twaang - Dies Lrae (Original Mix).mp3,80.0,tag,77.92,78.95,True,True,True,True,100.2,False,False,130.8,False,False,2.1,28.44,34.5,31.0,20.0
2Green - 8 Days Of Christmas (Original Mix).mp3,120.0,tag,120.0,120.0,True,True,True,True,118.0,True,True,121.2,True,True,0.5,120.0,10.5,0.0,0.0
"Calvin Harris, Clementine Douglas - Blessings Daniel Seacroft Extended Remix (Extended).mp3",70.0,tag,139.53,139.53,False,True,False,True,95.2,False,True,141.2,False,True,0.4,150.0,18.5,11.0,3.5
Ashanti - Rock Wit U (Nylze Edit).mp3,114.0,tag,113.21,113.21,True,True,True,True,113.6,True,True,117.1,True,True,0.58,101.69,7.0,1.0,0.0
Chris Brown - Yo Excuse Me Miss (Nylze Edit).mp3,104.0,tag,103.45,103.45,True,True,True,True,105.6,True,True,137.3,False,True,0.45,133.33,5.5,1.0,0.0
Missy Elliott - Im Really Hot (Frisk & Vix Private Edit).mp3,128.0,tag,127.66,127.66,True,True,True,True,130.2,True,True,129.9,True,True,0.4,150.0,2.0,2.0,0.0
Tove Lo - Habits Stay High (Gabriel Velazquez Remix).mp3,125.0,tag,125.0,125.0,True,True,True,True,63.2,False,True,126.4,True,True,0.6,98.36,1.0,1.0,0.0
Bon Jovi - Livin On A Prayer (Ozan Dede Edit).mp3,125.0,tag,125.0,125.0,True,True,True,True,123.5,True,True,126.4,True,True,0.43,139.53,2.0,1.0,0.0
Tim Cosmos - Freek You (Original Mix).mp3,125.0,tag,125.0,125.0,True,True,True,True,127.2,True,True,126.4,True,True,0.4,150.0,1.5,1.0,0.0
David Guetta - Memories (Alex Armani Edit).mp3,132.0,tag,130.43,130.43,True,True,True,True,135.1,True,True,133.6,True,True,0.48,127.66,53.5,11.0,2.0
30Hz - Eyes Wide Shut (Original Mix).mp3,87.0,tag,171.43,171.43,False,True,False,True,117.6,False,True,176.2,False,True,0.35,166.67,61.0,5.0,0.5
Anthony David X DJ Queen Bee - For The Longest Time (Original Mix).mp3,108.0,tag,157.89,157.89,False,True,False,True,127.9,False,False,158.8,False,True,0.83,71.43,67.5,25.0,4.5
Circuit Haze - William Byron (Original Mix).mp3,86.0,tag,171.43,171.43,False,True,False,True,115.5,False,True,153.4,False,False,0.42,142.86,14.5,1.0,0.0
H2so4 ft Mavis - Frequency (Original Mix).mp3,86.0,tag,171.43,171.43,False,True,False,True,117.4,False,True,175.0,False,True,0.72,84.51,25.0,3.0,1.0
Hplus - Me Feel (Original Mix).mp3,164.0,tag,166.67,166.67,True,True,True,True,111.2,False,True,166.7,True,True,0.42,146.34,61.5,6.0,1.5
Hplus - What If (Original Mix).mp3,169.0,tag,171.43,171.43,True,True,True,True,113.3,False,True,137.3,False,False,1.02,58.82,67.5,7.0,4.0
Jordanlivingood - All The Time (Original Mix).mp3,87.0,tag,171.43,176.47,False,True,False,True,130.5,False,True,176.2,False,True,0.72,84.51,46.0,1.0,1.0
Juvenile - Lalalalala (Remix).mp3,84.0,owner,166.67,166.67,False,True,False,True,115.1,False,True,135.4,False,False,0.37,162.16,26.5,3.0,2.0
Poni Punkflwr & Fisherboi - Pink Tongue (Original Mix).mp3,166.0,tag,166.67,166.67,True,True,True,True,113.7,False,True,166.7,True,True,0.37,157.89,76.0,0.0,0.0
